NACA 0012 Airfoil Coordinates (chord c = 1 m)
Generated analytically from NACA 4-digit series thickness distribution
Formula: y_t = ±0.12 * 0.2 * c * (0.2969√(x/c) - 0.1260(x/c) - 0.3516(x/c)^2 + 0.2843(x/c)^3 - 0.1015(x/c)^4)
Columns: x/c    y_upper    y_lower
Note: Leading edge at (0,0), trailing edge at (1,0)

0.000000    0.000000    -0.000000
0.005000    0.002443    -0.002443
0.010000    0.003407    -0.003407
0.015000    0.004127    -0.004127
0.020000    0.004720    -0.004720
0.025000    0.005229    -0.005229
0.030000    0.005680    -0.005680
0.035000    0.006086    -0.006086
0.040000    0.006455    -0.006455
0.045000    0.006795    -0.006795
0.050000    0.007109    -0.007109
0.055000    0.007402    -0.007402
0.060000    0.007675    -0.007675
0.065000    0.007931    -0.007931
0.070000    0.008173    -0.008173
0.075000    0.008400    -0.008400
0.080000    0.008614    -0.008614
0.085000    0.008818    -0.008818
0.090000    0.009010    -0.009010
0.095000    0.009192    -0.009192
0.100000    0.009366    -0.009366
0.105000    0.009530    -0.009530
0.110000    0.009686    -0.009686
0.115000    0.009835    -0.009835
0.120000    0.009976    -0.009976
0.125000    0.010111    -0.010111
0.130000    0.010239    -0.010239
0.135000    0.010360    -0.010360
0.140000    0.010476    -0.010476
0.145000    0.010586    -0.010586
0.150000    0.010690    -0.010690
0.155000    0.010790    -0.010790
0.160000    0.010884    -0.010884
0.165000    0.010973    -0.010973
0.170000    0.011057    -0.011057
0.175000    0.011138    -0.011138
0.180000    0.011213    -0.011213
0.185000    0.011285    -0.011285
0.190000    0.011352    -0.011352
0.195000    0.011416    -0.011416
0.200000    0.011475    -0.011475
0.205000    0.011531    -0.011531
0.210000    0.011583    -0.011583
0.215000    0.011632    -0.011632
0.220000    0.011677    -0.011677
0.225000    0.011719    -0.011719
0.230000    0.011758    -0.011758
0.235000    0.011794    -0.011794
0.240000    0.011826    -0.011826
0.245000    0.011856    -0.011856
0.250000    0.011882    -0.011882
0.255000    0.011906    -0.011906
0.260000    0.011927    -0.011927
0.265000    0.011946    -0.011946
0.270000    0.011961    -0.011961
0.275000    0.011975    -0.011975
0.280000    0.011985    -0.011985
